model,case,aggregate,r10,year,gtco2
REMIND-MAgPIE,C,Max,AFR,2044,2.636232948428304
REMIND-MAgPIE,C,Max,AFR,2045,2.6682899821785977
REMIND-MAgPIE,C,Max,AFR,2046,2.7003470159288914
REMIND-MAgPIE,C,Max,AFR,2047,2.732404049679185
REMIND-MAgPIE,C,Max,AFR,2048,2.7644610834294783
REMIND-MAgPIE,C,Max,AFR,2049,2.796518117179772
REMIND-MAgPIE,C,Max,AFR,2050,2.8285751509300656
REMIND-MAgPIE,C,Max,AFR,2051,2.932303051121843
REMIND-MAgPIE,C,Max,AFR,2052,3.0360309513136197
REMIND-MAgPIE,C,Max,AFR,2053,3.139758851505397
REMIND-MAgPIE,C,Max,AFR,2054,3.2434867516971737
REMIND-MAgPIE,C,Max,AFR,2055,3.347214651888951
REMIND-MAgPIE,C,Max,AFR,2056,3.4509425520807278
REMIND-MAgPIE,C,Max,AFR,2057,3.5546704522725046
REMIND-MAgPIE,C,Max,AFR,2058,3.658398352464282
REMIND-MAgPIE,C,Max,AFR,2059,3.7621262526560586
REMIND-MAgPIE,C,Max,AFR,2060,3.8658541528478354
REMIND-MAgPIE,C,Max,AFR,2061,4.038848690347427
REMIND-MAgPIE,C,Max,AFR,2062,4.211843227847019
REMIND-MAgPIE,C,Max,AFR,2063,4.38483776534661
REMIND-MAgPIE,C,Max,AFR,2064,4.557832302846202
REMIND-MAgPIE,C,Max,AFR,2065,4.730826840345793
REMIND-MAgPIE,C,Max,AFR,2066,4.903821377845384
REMIND-MAgPIE,C,Max,AFR,2067,5.076815915344976
REMIND-MAgPIE,C,Max,AFR,2068,5.249810452844567
REMIND-MAgPIE,C,Max,AFR,2069,5.422804990344159
REMIND-MAgPIE,C,Max,AFR,2070,5.5957995278437505
REMIND-MAgPIE,C,Max,AFR,2071,5.762714211734642
REMIND-MAgPIE,C,Max,AFR,2072,5.929628895625534
REMIND-MAgPIE,C,Max,AFR,2073,6.0965435795164264
REMIND-MAgPIE,C,Max,AFR,2074,6.263458263407318
REMIND-MAgPIE,C,Max,AFR,2075,6.43037294729821
REMIND-MAgPIE,C,Max,AFR,2076,6.5972876311891016
REMIND-MAgPIE,C,Max,AFR,2077,6.764202315079993
REMIND-MAgPIE,C,Max,AFR,2078,6.931116998970886
REMIND-MAgPIE,C,Max,AFR,2079,7.0980316828617775
REMIND-MAgPIE,C,Max,AFR,2080,7.264946366752669
REMIND-MAgPIE,C,Max,AFR,2081,7.371246570346118
REMIND-MAgPIE,C,Max,AFR,2082,7.477546773939568
REMIND-MAgPIE,C,Max,AFR,2083,7.583846977533017
REMIND-MAgPIE,C,Max,AFR,2084,7.690147181126466
REMIND-MAgPIE,C,Max,AFR,2085,7.796447384719915
REMIND-MAgPIE,C,Max,AFR,2086,7.902747588313364
REMIND-MAgPIE,C,Max,AFR,2087,8.009047791906813
