iso3c,year,terr_GtCO2,lulucf_GtCO2_mean,lulucf_GtCO2_blue,lulucf_GtCO2_hc2023,lulucf_GtCO2_oscar
AFG,2003,0.0015607375714292964,0.0033081888888888884,0.0037753099999999996,8.465233333333333e-4,0.005302733333333334
AFG,2004,0.0012381474708879172,0.00267762,0.0021690533333333334,0.0012641199999999999,0.004599686666666666
AFG,2005,0.0018908821870451222,0.0023116499999999997,0.0011665133333333333,0.001640576666666667,0.00412786
AFG,2006,0.002160889628606181,0.001999897777777778,9.8637e-4,0.00109593,0.003917393333333333
AFG,2007,0.0028019467794759834,0.0018025699999999999,7.208666666666667e-4,9.433966666666666e-4,0.003743446666666667
AFG,2008,0.004257573782813816,0.0015970166666666667,6.172100000000001e-4,6.5472e-4,0.0035191199999999997
AFG,2009,0.006396539625148566,0.0014406822222222222,5.054500000000001e-4,3.876033333333333e-4,0.003428993333333333
AFG,2010,0.008370890920669567,0.00120703,1.7372666666666666e-4,1.2525333333333335e-4,0.00332211
AFG,2011,0.011846931950509444,0.0010773522222222221,1.3313666666666668e-4,-1.1623333333333334e-4,0.0032151533333333333
AFG,2012,0.010042617721979626,0.0010173166666666666,1.1707666666666666e-4,-1.6918e-4,0.0031040533333333334
AFG,2013,0.009257242540029109,9.527222222222223e-4,-1.9946666666666667e-5,-1.782366666666667e-4,0.00305635
AFG,2014,0.009176983537257433,9.030755555555556e-4,-8.517666666666668e-5,-1.8872333333333336e-4,0.0029831266666666668
AFG,2015,0.009798218977438137,9.554477777777777e-4,6.746666666666666e-5,-1.8458e-4,0.0029834566666666665
AFG,2016,0.00907419776042978,0.0011919844444444442,1.3482333333333333e-4,4.0325999999999996e-4,0.00303787
AFG,2017,0.009875150927947617,0.001177317777777778,-1.713433333333333e-4,6.5307e-4,0.003050226666666667
AFG,2018,0.010825921616517369,0.0012415211111111112,-5.500000000000001e-6,7.9596e-4,0.002934103333333333
AFG,2019,0.011089686350122306,0.0013312811111111111,1.9037333333333332e-4,9.343766666666666e-4,0.0028690933333333332
AFG,2020,0.011896718026630507,0.0013313422222222223,9.698333333333335e-5,0.0010672566666666665,0.0028297866666666667
AFG,2021,0.01229208818862189,0.0012461655555555556,-1.6976666666666663e-5,0.0010671466666666667,0.0026883266666666667
AFG,2022,0.012156789787458835,0.0012626533333333335,4.539333333333333e-5,0.0010679166666666669,0.00267465
AGO,1850,0,0.005246254444444445,0.008902923333333333,5.440600000000001e-4,0.00629178
AGO,1851,0,0.00525283,0.008909156666666666,4.493133333333333e-4,0.00640002
AGO,1852,0,0.005371471111111112,0.009035473333333334,5.379366666666666e-4,0.006541003333333333
AGO,1853,0,0.005417500000000001,0.00907929,5.751166666666666e-4,0.006598093333333334
AGO,1854,0,0.00532235,0.008974276666666666,4.811033333333333e-4,0.00651167
AGO,1855,0,0.005326688888888889,0.008963936666666667,4.922500000000001e-4,0.006523879999999999
AGO,1856,0,0.005438228888888889,0.00905817,6.140566666666667e-4,0.00664246
AGO,1857,0,0.005413588888888889,0.009014536666666666,6.020299999999999e-4,0.006624199999999999
AGO,1858,0,0.005352942222222223,0.008934126666666667,5.555366666666667e-4,0.006569163333333333
AGO,1859,0,0.005290804444444445,0.008937096666666667,4.652266666666667e-4,0.0064700899999999995
AGO,1860,0,0.00559196,0.009493476666666665,5.384866666666667e-4,0.006743916666666667
AGO,1861,0,0.005613898888888889,0.009588076666666667,4.041033333333333e-4,0.006849516666666666
AGO,1862,0,0.00586872,0.01011725,4.8279000000000003e-4,0.00700612
AGO,1863,0,0.005988497777777778,0.010132173333333334,6.359833333333334e-4,0.007197336666666666
AGO,1864,0,0.006056062222222223,0.010184606666666667,7.012866666666667e-4,0.0072822933333333345
AGO,1865,0,0.006006171111111111,0.010134116666666667,6.428033333333333e-4,0.007241593333333333
AGO,1866,0,0.005965935555555556,0.010094333333333334,5.949533333333333e-4,0.00720852
AGO,1867,0,0.005904971111111111,0.010037279999999999,0.00052594666666666665,0.007151686666666666
AGO,1868,0,0.0059219599999999996,0.010052166666666666,5.387066666666667e-4,0.0071750066666666674
AGO,1869,0,0.005791194444444443,0.00991188,4.0820999999999994e-4,0.007053493333333333
AGO,1870,0,0.005990172222222222,0.010402076666666668,3.2251999999999997e-4,0.0072459199999999994
AGO,1871,0,0.0062015433333333335,0.010683896666666668,3.3487666666666665e-4,0.007585856666666667
AGO,1872,0,0.006486541111111112,0.011040443333333334,5.301633333333333e-4,0.007889016666666667
AGO,1873,0,0.006566987777777777,0.011171893333333332,5.536666666666666e-4,0.007975403333333334
AGO,1874,0,0.006628282222222222,0.01126752,5.743466666666666e-4,0.00804298
AGO,1875,0,0.006804563333333333,0.011701323333333333,5.992066666666668e-4,0.008113160000000001
AGO,1876,0,0.006767896666666666,0.011519053333333334,6.183466666666667e-4,0.00816629
AGO,1877,0,0.006550206666666667,0.011269023333333334,4.052766666666667e-4,0.00797632
AGO,1878,0,0.006732158888888888,0.011438899999999998,5.811666666666667e-4,0.008176409999999999
AGO,1879,0,0.006754867777777777,0.011456206666666666,5.952833333333333e-4,0.008213113333333332
AGO,1880,0,0.007208190000000001,0.012543080000000002,5.357e-4,0.008545790000000001
