model,scen,r10,peakyearbin,pkyearbin,netzeroyearbin,nzyearbin,category,ppp_pf,rcb2100_gtco2_cmltv,gtco2_cdr_cmltv
REMIND 2.1,CEMICS_GDPgrowth_1p5,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/asinh(x),136.7547641435758,78.56001135
REMIND 2.1,CEMICS_GDPgrowth_1p5,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/sqrt(x),213.17668713174592,78.56001135
REMIND 2.1,CEMICS_GDPgrowth_1p5,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/x,319.18356384759954,78.56001135
REMIND 2.1,CEMICS_GDPgrowth_1p5,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/asinh(x),133.48332351743025,78.56001135
REMIND 2.1,CEMICS_GDPgrowth_1p5,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/sqrt(x),219.80649859369774,78.56001135
REMIND 2.1,CEMICS_GDPgrowth_1p5,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/x,357.73727938979494,78.56001135
REMIND 2.1,CEMICS_GDPgrowth_1p5,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/asinh(x),191.74579044819814,78.56001135
REMIND 2.1,CEMICS_GDPgrowth_1p5,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/sqrt(x),268.1677134363682,78.56001135
REMIND 2.1,CEMICS_GDPgrowth_1p5,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/x,374.1745901522219,78.56001135
REMIND 2.1,CEMICS_GDPgrowth_1p5,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/asinh(x),188.47434982205257,78.56001135
REMIND 2.1,CEMICS_GDPgrowth_1p5,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/sqrt(x),274.79752489832003,78.56001135
REMIND 2.1,CEMICS_GDPgrowth_1p5,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/x,412.7283056944173,78.56001135
REMIND 2.1,R2p1_SSP1-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,1_PP1990,NA,107.4860154911958,20.26209375
REMIND 2.1,R2p1_SSP1-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,2_PP1850,NA,257.66331042758827,20.26209375
REMIND 2.1,R2p1_SSP1-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/asinh(x),131.7886080968159,20.26209375
REMIND 2.1,R2p1_SSP1-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/sqrt(x),208.21053108498603,20.26209375
REMIND 2.1,R2p1_SSP1-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/x,314.2174078008397,20.26209375
REMIND 2.1,R2p1_SSP1-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/asinh(x),128.51716747067036,20.26209375
REMIND 2.1,R2p1_SSP1-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/sqrt(x),214.84034254693785,20.26209375
REMIND 2.1,R2p1_SSP1-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/x,352.7711233430351,20.26209375
REMIND 2.1,R2p1_SSP1-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/asinh(x),186.77963440143822,20.26209375
REMIND 2.1,R2p1_SSP1-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/sqrt(x),263.20155738960835,20.26209375
REMIND 2.1,R2p1_SSP1-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/x,369.20843410546206,20.26209375
REMIND 2.1,R2p1_SSP1-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/asinh(x),183.50819377529268,20.26209375
REMIND 2.1,R2p1_SSP1-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/sqrt(x),269.83136885156017,20.26209375
REMIND 2.1,R2p1_SSP1-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/x,407.76214964765745,20.26209375
REMIND 2.1,R2p1_SSP2-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,1_PP1990,NA,105.07318028042694,0.17742513000000001
REMIND 2.1,R2p1_SSP2-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,2_PP1850,NA,255.25047521681938,0.17742513000000001
REMIND 2.1,R2p1_SSP2-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/asinh(x),129.37577288604706,0.17742513000000001
REMIND 2.1,R2p1_SSP2-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/sqrt(x),205.79769587421714,0.17742513000000001
REMIND 2.1,R2p1_SSP2-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/x,311.8045725900708,0.17742513000000001
REMIND 2.1,R2p1_SSP2-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/asinh(x),126.10433225990148,0.17742513000000001
REMIND 2.1,R2p1_SSP2-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/sqrt(x),212.42750733616896,0.17742513000000001
REMIND 2.1,R2p1_SSP2-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/x,350.3582881322662,0.17742513000000001
REMIND 2.1,R2p1_SSP2-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/asinh(x),184.36679919066938,0.17742513000000001
REMIND 2.1,R2p1_SSP2-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/sqrt(x),260.78872217883946,0.17742513000000001
REMIND 2.1,R2p1_SSP2-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/x,366.79559889469317,0.17742513000000001
REMIND 2.1,R2p1_SSP2-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/asinh(x),181.0953585645238,0.17742513000000001
REMIND 2.1,R2p1_SSP2-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/sqrt(x),267.4185336407913,0.17742513000000001
REMIND 2.1,R2p1_SSP2-PkBudg900,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/x,405.34931443688856,0.17742513000000001
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,1_PP1990,NA,99.36035213188839,67.28791105
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,2_PP1850,NA,249.53764706828085,67.28791105
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/asinh(x),123.6629447375085,67.28791105
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/sqrt(x),200.0848677256786,67.28791105
