r10,iso3c,country.name,pop_20202050,pop_19902019,pop_19902050,pop_18502050,pop_18501989,gtco2_18501989,co2_19902019_gt,gdp2017ppp_19902019_pc,gdp2017mer_19902019_pc
LAM,ARG,Argentina,1459096533.1535642,1161168322,2620264855.153565,4244383893.1535654,1624119038,3.559369098000001,4.705654099999999,16275.18868125822,8751.850225366203
LAM,BHS,Bahamas,13613424.897558391,9718188,23331612.897558384,35758418.89755839,12426806,0.105860881,0.060917663999999996,32707.861533542826,25927.70483551049
LAM,BLZ,Belize,12899709.62677668,8458370,21358079.626776684,30234321.626776684,8876242,0.004876784000000001,0.013655728,6998.976471493621,5113.751231029146
LAM,BOL,Bolivia (Plurinational State of),404007065.61591405,274867104,678874169.6159139,1068631743.615914,389757574,0.10763683000000002,0.41333777600000005,4950.913965277789,1803.8278793319346
LAM,BRA,Brazil,6974701085.681122,5490123986,12464825071.681124,18646023222.681118,6181198151,4.43350102,11.318097364000002,11732.962800887826,6848.085398666986
LAM,BRB,Barbados,8614740.894684773,8265034,16879774.894684777,44106594.89468477,27226820,0.017334603,0.049052139,18211.614499965683,13190.543873150555
LAM,CHL,Chile,617427924.0862538,482922311,1100350235.0862536,1835652887.0862536,735302652,0.9724028650000003,1.8599772470000002,16451.202735485127,9169.626244826488
LAM,COL,Colombia,1823129282.4212034,1258661828,3081791110.4212036,4458288086.421203,1376496976,1.2461047190000003,2.104513194,10428.177461380834,4435.092536170744
LAM,CRI,Costa Rica,188973463.80384377,125711390,314684853.8038438,428474725.80384386,113789872,0.056763325999999996,0.18871245500000006,12853.83602671166,6787.400166260746
LAM,DOM,Dominican Republic,379996084.0196493,269977102,649973186.0196494,909557891.0196494,259584705,0.157093992,0.563766285,10910.737304977998,4420.780783961769
LAM,ECU,Ecuador,576235544.3241425,411871604,988107148.3241425,1410778431.3241422,422671283,0.301401542,0.8838641300000002,8560.655144424572,3822.0484928476826
LAM,GRD,Grenada,3526585.9479507725,3130682,6657267.947950773,16285116.947950773,9627849,0.0015572000000000003,0.006408336,9526.465708365422,6306.064462536824
LAM,GTM,Guatemala,668412784.9899824,393576961,1061989745.9899824,1445221912.9899826,383232167,0.097041747,0.326634017,6293.834277481375,2553.810332979568
LAM,GUY,Guyana,23828745.31993802,22649360,46478105.31993798,99445528.31993799,52967423,0.045074527999999996,0.05363137500000001,7298.524977206172,2841.8216949655543
LAM,HND,Honduras,326491226.0582849,220506817,546998043.0582848,734756303.0582849,187758260,0.04989597299999998,0.20138257400000006,4164.948143112567,1631.6561958281993
LAM,HTI,Haiti,375832051.5850573,274163668,649995719.5850574,1026561498.5850575,376565779,0.019190057999999996,0.053982232,1765.4534244247036,912.983755538129
LAM,JAM,Jamaica,88725927.23195589,81342378,170068305.23195592,324302459.23195595,154234154,0.173801967,0.271453748,6820.688731470636,3906.595157665975
LAM,LCA,St. Lucia,6330831.133325261,4885082,11215913.133325264,20489156.133325264,9273243,0.002498848,0.011420688000000003,10980.182556420943,7504.589664797618
LAM,MEX,Mexico,4334319551.852737,3172749096,7507068647.852737,11004667497.852737,3497598850,7.0080840150000014,12.688341271000004,15873.474659087886,7866.381107255841
LAM,NIC,Nicaragua,211694111.67295793,161834524,373528635.672958,538923507.672958,165394872,0.052554321,0.119199543,4368.30203225441,1321.0918281298186
LAM,PAN,Panama,144283817.94686526,99567831,243851648.94686526,341521012.94686514,97669364,0.082632857,0.21675663400000003,16128.317702613458,7827.972337447102
LAM,PER,Peru,1032613681.3407274,822837225,1855450906.3407273,2842828608.340727,987377702,0.801449555,1.040246366,7974.34089257447,3887.3635828117426
LAM,PRY,Paraguay,270528195.0086854,171286985,441815180.0086856,607111165.0086852,165295985,0.03250693599999999,0.137207373,8588.52708602612,3359.776463452657
LAM,SLV,El Salvador,195837974.5357534,179247419,375085393.5357534,626546825.5357536,251461432,0.055201923,0.17102871299999997,4332.010178370755,2557.3892336156873
LAM,SUR,Suriname,19370895.250331722,14896970,34267865.250331715,59593496.250331715,25325631,0.049160897999999995,0.06531117900000001,10707.988487051603,4789.904505024028
LAM,TTO,Trinidad and Tobago,41314187.717395,39051785,80365972.71739498,148994518.71739498,68628546,0.551724061,0.9807358619999998,22001.320375184194,11876.502436922041
