Model,Scenario,Region,Variable,Unit,2015,2019,2020,2030,2040,2045,2050,2053,2060,2070,2080,2090,2100
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8REF_ECON,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,3324.1270204884177,3410.7758339348975,3376.163572071716,3102.027576120223,3193.470876195898,3425.5769554104377,3657.683034624977,3705.312944286588,3816.4494001636795,3892.4617531563445,3936.937709457227,4203.103316905734,4764.288127461968
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8REF_ECON,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,3383.6676103760437,3473.122179995246,3438.8110586086364,3158.4768297597566,3248.2310244791042,3480.077953356624,3711.924882234144,3757.6695943967616,3864.407256109535,3950.1277687008915,3995.458516018361,4282.374159085479,4824.268745206686
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8REF_ECON,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,3424.828670681584,3520.672375708756,3488.646574747076,3200.7962702349064,3272.0777926930573,3506.3209625947643,3740.5641324964713,3792.6848223864536,3914.2997654630767,4072.426581618172,4140.998715974603,4443.257516491077,5000.662472117832
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,World,Emissions|CO2,Mt CO2/yr,41202.74885204657,42360.17961452822,42436.57291458532,46182.89479504914,48548.24462616189,50794.7511769722,53041.257727782504,54488.22794478005,57864.491784440965,60667.2790061507,66200.52405415918,74599.06042031315,83069.19221442759
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,World,Emissions|CO2|AFOLU,Mt CO2/yr,4912.257684806003,4537.7197805903625,4493.101590904599,4014.854377451856,2992.843223993575,2374.471593333621,1756.0999626736673,1446.046856632883,722.5896092043863,-1746.0871840942302,-2938.6574976541133,-3642.5275869950856,-4208.095444576391
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,36290.49116724057,37822.45983393786,37943.471323680715,42168.04041759729,45555.40140216831,48420.27958363858,51285.15776510884,53042.181088147176,57141.90217523659,62413.366190244924,69139.1815518133,78241.58800730824,87277.28765900398
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,World,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,54185.831301665436,55934.81659197351,56173.583238052415,59645.93838859334,62107.82897928142,64043.59485451589,65979.36072975036,67583.39362791419,71326.13705696305,74634.59286837558,80440.7608116334,89264.90822383588,97932.65574775923
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,World,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,54890.4118491987,56657.53881670516,56891.08628212424,60286.829050753826,62662.84028582783,64550.3958131263,66437.95134042477,68033.20394736403,71755.46003022227,75025.50883787184,80756.05718204168,89505.70469501198,98039.5903090607
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,World,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,55087.111305865365,56882.5472806669,57130.49489465895,60541.17398209104,62970.16774859761,64865.43450334649,66760.70125809537,68377.0129223173,72148.40680550179,75497.29739281707,81311.2149984046,90146.76559840298,98782.40777802652
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R8AFRIMEST,Emissions|CO2,Mt CO2/yr,5107.134825826835,5318.478162320935,5369.684767239098,6717.728814315915,7331.529141088128,7730.760800116523,8129.992459144918,8453.1318999375,9207.123928453524,10538.561629876463,13244.462748307762,16462.603984455884,19457.46162695495
